Pose: [{'x': 5.544444561004639, 'y': 5.544444561004639, 'theta': 0.0, 'linear_velocity': 0.0, 'angular_velocity': 0.0}]
Pose: [{'x': 5.544444561004639, 'y': 5.544444561004639, 'theta': 0.0, 'linear_velocity': 0.0, 'angular_velocity': 0.0}]
Pose: [{'x': 5.544444561004639, 'y': 5.544444561004639, 'theta': 0.0, 'linear_velocity': 0.0, 'angular_velocity': 0.0}]
Pose: [{'x': 5.544444561004639, 'y': 5.544444561004639, 'theta': 0.0, 'linear_velocity': 0.0, 'angular_velocity': 0.0}]
Pose: [{'x': 5.544444561004639, 'y': 5.544444561004639, 'theta': 0.0, 'linear_velocity': 0.0, 'angular_velocity': 0.0}]
Pose: [{'x': 5.544444561004639, 'y': 5.544444561004639, 'theta': 0.0, 'linear_velocity': 0.0, 'angular_velocity': 0.0}]
Pose: [{'x': 5.544444561004639, 'y': 5.544444561004639, 'theta': 0.0, 'linear_velocity': 0.0, 'angular_velocity': 0.0}]
Pose: [{'x': 5.544444561004639, 'y': 5.544444561004639, 'theta': 0.0, 'linear_velocity': 0.0, 'angular_velocity': 0.0}]
Pose: [{'x': 5.544444561004639, 'y': 5.544444561004639, 'theta': 0.0, 'linear_velocity': 0.0, 'angular_velocity': 0.0}]
Pose: [{'x': 5.544444561004639, 'y': 5.544444561004639, 'theta': 0.0, 'linear_velocity': 0.0, 'angular_velocity': 0.0}]
Pose: [{'x': 5.544444561004639, 'y': 5.544444561004639, 'theta': 0.0, 'linear_velocity': 0.0, 'angular_velocity': 0.0}]
Pose: [{'x': 5.544444561004639, 'y': 5.544444561004639, 'theta': 0.0, 'linear_velocity': 0.0, 'angular_velocity': 0.0}]
Pose: [{'x': 5.544444561004639, 'y': 5.544444561004639, 'theta': 0.0, 'linear_velocity': 0.0, 'angular_velocity': 0.0}]
Pose: [{'x': 5.544444561004639, 'y': 5.544444561004639, 'theta': 0.0, 'linear_velocity': 0.0, 'angular_velocity': 0.0}]
Pose: [{'x': 5.544444561004639, 'y': 5.544444561004639, 'theta': 0.0, 'linear_velocity': 0.0, 'angular_velocity': 0.0}]
Pose: [{'x': 5.544444561004639, 'y': 5.544444561004639, 'theta': 0.0, 'linear_velocity': 0.0, 'angular_velocity': 0.0}]
Pose: [{'x': 5.544444561004639, 'y': 5.544444561004639, 'theta': 0.0, 'linear_velocity': 0.0, 'angular_velocity': 0.0}]
Pose: [{'x': 5.565404891967773, 'y': 5.544104099273682, 'theta': -0.01623733714222908, 'linear_velocity': 1.3101918697357178, 'angular_velocity': -1.0148335695266724}]
Pose: [{'x': 5.583029747009277, 'y': 5.544262409210205, 'theta': 0.008977249264717102, 'linear_velocity': 1.1015846729278564, 'angular_velocity': 1.5759116411209106}]
Pose: [{'x': 5.602996349334717, 'y': 5.544098377227783, 'theta': -0.008209197781980038, 'linear_velocity': 1.2479732036590576, 'angular_velocity': -1.074152946472168}]
Pose: [{'x': 5.622957706451416, 'y': 5.543591499328613, 'theta': -0.025395646691322327, 'linear_velocity': 1.2479732036590576, 'angular_velocity': -1.074152946472168}]
Pose: [{'x': 5.64290714263916, 'y': 5.542741298675537, 'theta': -0.04258209466934204, 'linear_velocity': 1.2479732036590576, 'angular_velocity': -1.074152946472168}]
Pose: [{'x': 5.662838935852051, 'y': 5.541548728942871, 'theta': -0.059768542647361755, 'linear_velocity': 1.2479732036590576, 'angular_velocity': -1.074152946472168}]
Pose: [{'x': 5.6827473640441895, 'y': 5.540013790130615, 'theta': -0.07695499062538147, 'linear_velocity': 1.2479732036590576, 'angular_velocity': -1.074152946472168}]
Pose: [{'x': 5.702626705169678, 'y': 5.5381364822387695, 'theta': -0.09414143860340118, 'linear_velocity': 1.2479732036590576, 'angular_velocity': -1.074152946472168}]
Pose: [{'x': 5.722470283508301, 'y': 5.535918235778809, 'theta': -0.1113278865814209, 'linear_velocity': 1.2479732036590576, 'angular_velocity': -1.074152946472168}]
Pose: [{'x': 5.742273330688477, 'y': 5.533359050750732, 'theta': -0.1285143345594406, 'linear_velocity': 1.2479732036590576, 'angular_velocity': -1.074152946472168}]
